Index;Category;Predicted_Ratio
1;Babys;0.28363323
2;Babys;0.27625877
3;Babys;0.26048115
4;Babys;0.2557873
5;Babys;0.24797148
6;Babys;0.24746506
7;Babys;0.24721463
8;Babys;0.24639572
9;Babys;0.24522714
10;Babys;0.23927097
11;Babys;0.23460649
12;Babys;0.22868294
13;Babys;0.22705843
14;Babys;0.22500168
15;Babys;0.2239835
16;Babys;0.22323608
17;Babys;0.22240923
18;Babys;0.22238031
19;Babys;0.21483669
20;Babys;0.21370319
21;Babys;0.2012635
22;Babys;0.19954142
23;Babys;0.19272125
24;Babys;0.19116952
25;Babys;0.18997529
26;Babys;0.18737155
27;Babys;0.18591197
28;Babys;0.1805418
29;Babys;0.17861886
30;Babys;0.16829309
1;Grocery;0.4000851
2;Grocery;0.26719067
3;Grocery;0.26049238
4;Grocery;0.2592083
5;Grocery;0.2495592
6;Grocery;0.24882449
7;Grocery;0.24811533
8;Grocery;0.2439694
9;Grocery;0.24208762
10;Grocery;0.23043062
11;Grocery;0.23016718
12;Grocery;0.22861739
13;Grocery;0.22751868
14;Grocery;0.22236949
15;Grocery;0.21765205
16;Grocery;0.21517092
17;Grocery;0.21426943
18;Grocery;0.20195463
19;Grocery;0.20108786
20;Grocery;0.1951365
21;Grocery;0.19368184
22;Grocery;0.19027567
23;Grocery;0.1813175
24;Grocery;0.17962626
25;Grocery;0.17950307
26;Grocery;0.17927338
27;Grocery;0.16493605
28;Grocery;0.15966897
1;Home Decor;0.21281001
2;Home Decor;0.20438433
3;Home Decor;0.2024841
4;Home Decor;0.20197448
5;Home Decor;0.200275
6;Home Decor;0.19992861
7;Home Decor;0.19935125
8;Home Decor;0.19792098
9;Home Decor;0.19744322
10;Home Decor;0.19592024
11;Home Decor;0.19425634
12;Home Decor;0.19348073
13;Home Decor;0.19211578
14;Home Decor;0.18397637
15;Home Decor;0.18173313
16;Home Decor;0.17548515
17;Home Decor;0.17470226
18;Home Decor;0.17458464
19;Home Decor;0.17368038
20;Home Decor;0.16755982
21;Home Decor;0.1665163
22;Home Decor;0.16524628
23;Home Decor;0.16396755
24;Home Decor;0.16331612
25;Home Decor;0.1630346
26;Home Decor;0.16163538
27;Home Decor;0.16041237
28;Home Decor;0.15642245
29;Home Decor;0.15601952
30;Home Decor;0.15555306
31;Home Decor;0.15502796
32;Home Decor;0.14687133
33;Home Decor;0.14077707
34;Home Decor;0.13358973
35;Home Decor;0.1305869
36;Home Decor;0.12438474
1;Spor;0.2329723
2;Spor;0.21486175
3;Spor;0.21228261
4;Spor;0.2024107
5;Spor;0.19756606
6;Spor;0.19265959
7;Spor;0.18927695
8;Spor;0.18568978
9;Spor;0.18502636
10;Spor;0.17964813
11;Spor;0.17883126
12;Spor;0.17694859
13;Spor;0.17382553
14;Spor;0.1736431
15;Spor;0.17195047
16;Spor;0.17079732
17;Spor;0.16963603
18;Spor;0.16780707
19;Spor;0.16762999
20;Spor;0.16535884
21;Spor;0.16453314
22;Spor;0.16349545
23;Spor;0.16193266
24;Spor;0.16080995
25;Spor;0.15638065
26;Spor;0.15016012
27;Spor;0.1500992
28;Spor;0.1500549
29;Spor;0.14916752
30;Spor;0.14717074
31;Spor;0.13143113
32;Spor;0.12297285
33;Spor;0.1204393
1;Underwear;0.21760559
2;Underwear;0.21357949
3;Underwear;0.20331939
4;Underwear;0.19524167
5;Underwear;0.19269614
6;Underwear;0.19050401
7;Underwear;0.1899052
8;Underwear;0.1885889
9;Underwear;0.18733145
10;Underwear;0.18625441
11;Underwear;0.18525428
12;Underwear;0.18459678
13;Underwear;0.17961495
14;Underwear;0.17876263
15;Underwear;0.17837347
16;Underwear;0.17699403
17;Underwear;0.17650233
18;Underwear;0.17627387
19;Underwear;0.17552242
20;Underwear;0.17303237
21;Underwear;0.16829897
22;Underwear;0.16792172
23;Underwear;0.16785607
24;Underwear;0.16717789
25;Underwear;0.16649853
26;Underwear;0.16641088
27;Underwear;0.16635318
28;Underwear;0.15750755
29;Underwear;0.15013038
30;Underwear;0.14499165
31;Underwear;0.13596737
32;Underwear;0.12006718
